Year,Month,State,District,Serial Number,Station Code,Station Name,DO (mg/L),pH,Conductivity (µS/cm),BOD (mg/L),Nitrate (mg/L),Turbidity (NTU),Chloride (mg/L),COD (mg/L),Ammonia  (mg/L),TDS (mg/L),Temperature
2023,January,Telangana,Shamshabad,57,1172,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",6,8.21,470,2,1.1,1,66,16,0.4,296,25
2023,January,Telangana,Warangal Rural,58,1215,"Thummala cheruvu,  Nasampet (V&M), Warangal",5.8,8.44,382,2.4,0.84,6,50,21,0.4,236,25
2023,January,Telangana,Sangareddy,59,1780,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",6.1,6.79,1504,7.2,28,8.3,255,80,0.4,920,25
2023,January,Telangana,Medchal Malkajgiri,60,2358,"Mallapur Tank , Medchal Malkajgiri",0.3,7.36,2702,14.4,5.2,8.5,344,141,3.84,1648,25
2023,January,Telangana,Sangareddy,61,2347,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",NIL,7.3,5840,48,52,54.9,1249,528,0.4,3790,25
2023,January,Telangana,Sangareddy,62,1783,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",5.6,6.72,1581,7.4,32,8.5,249,82,0.4,1020,25
2023,January,Telangana,Sangareddy,63,2348,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",5.4,7.01,1824,8.4,46,12.5,286,120,0.4,1180,25
2023,January,Telangana,Sangareddy,64,4243,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",5.6,7.54,2323,8.3,32,9.6,412,92,0.4,1277,25
2023,January,Telangana,Sangareddy,65,4302,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",7,7.41,1724,10,22,11.2,280,108,0.4,1020,25
2023,January,Telangana,Sangareddy,66,4240,"Muthangi Tank (V), Patancheru (M),Sangareddy district",7.7,8.25,1063,5.8,20,6.7,191,64,0.4,700,25
2023,January,Telangana,Sangareddy,67,4241,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",6.2,8.48,1515,4.7,26,5.4,268,52,0.4,907,25
2023,January,Telangana,Sangareddy,68,4242,"Lakadaram Cheruvu, Lakdaram (V), Patancheru (M),Sangareddy District.",7.1,8.26,1303,5.8,21,6.7,245,64,0.4,786,25
2023,January,Telangana,RR-shamshabad,70,1789,"Himayathsagar lake, Shamshabad",6,7.84,564,1.4,1.2,4.6,66,8,0.4,344,25
2023,January,Telangana,Medchal Malkajgiri,71,3069,"Shameerpet Tank, Shameerpet(V&M), Medchal- malkajigiri(D)",5.4,7.7,625,2,1.4,3.8,66,12,0.64,394,25
2023,January,Telangana,Medchal Malkajgiri,72,3078,"Pragathinagar cheruvu,Pragathinagar(V), Kukatpally, Medchal-malkajigiri(D)",1.8,7.87,1038,5.4,3.6,23,122,51,2.82,634,25
2023,January,Telangana,Medchal Malkajgiri,73,2340,"Lakshminarayana cheruvu at Edulabad, Ghatkesar, Medchal District",3.8,7.7,1565,3,4.2,9.6,188,27,1.42,970,25
2023,January,Telangana,RR-shamshabad,74,1788,"Large Tank, Saroornagar (V & M), Rangareddy District",0.3,7.92,1273,14,3.5,22,152,147,1.98,776,25
2023,January,Telangana,RR-shamshabad,75,4234,"Umda sagar lake,Jalpally(V), Saroornagar(M), Shamshabad ",0.3,8.41,1261,8.8,3.4,13,188,83,1.58,768,25
2023,January,Telangana,Yadadri Bhuvanagiri,76,1464,"Pedda Cheruvu, Bibinagar (V&M),Yadadri bhuvanagiri (D)",5.7,8.01,1065,4.7,20,5.4,179,52,0.4,677,25
2023,January,Telangana,Mulugu,77,3068,"Ramappa lake, Palampet (V), Venkatapuram (M), Mulugu District.",6,8.13,233,3.2,1.1,3,27,35,0.4,140,25
2023,January,Telangana,Warangal,78,1447,"Dharmasagar Tank, Dharmasagar(V&M), Hanumakonda District",6.1,7.9,466,2,1.8,1,49,16,0.4,290,25
2023,January,Telangana,Warangal Urban,79,2346,"Bhadrakali Cheruvu, Near Bhadrakali Temple, Hanumakonda",5.8,7.78,799,3.8,2,4,118,39,0.68,504,25
2023,January,Telangana,Warangal Urban,80,3084,"Wadepalli Cheruvu, Wadepally (V), Hanamkonda (M&D)",5.8,7.86,559,2.4,2.3,6,69,20,0.4,348,25
2023,January,Telangana,Warangal Urban,81,3085,"Chinna Wadepalli Cheruvu, Enumamula(V), Warangal(M&D)",0.3,6.95,1073,9,4.8,10,192,94,1.58,666,25
2023,January,Telangana,Warangal Urban,83,2345,"Sai Cheruvu, Deshaipet(V), Warangal (M&D)",0.3,7.51,2824,12,5.6,8,784,110,1.34,1752,25
2023,January,Telangana,Jagityal,84,4222,"Kondagattu temple- Koneru, Jagitiyal",5.2,7.22,593,3.2,2.1,2,86,31,0.4,378,25
2023,January,Telangana,Siricilla,85,4223,"Vemulawada temple - Koneru, Vemulawada (V & M) Karimnagar",1.8,6.8,925,5.2,2.2,4,98,55,0.68,582,25
2023,January,Telangana,RR-shamshabad,86,4228,"Pedda cheruvu/Ibrahim cheruvu, Ibrahimbagh, Rajendranagar(M), Rangareddy District",0.3,7.67,1302,6,3.8,7,152,59,2.48,820,25
2023,January,Telangana,Sangareddy,87,4230,"Kistaipally Cheruvu, Kistaipally (V), Jinnaram(M), Sangareddy District",7.2,7.19,2841,9.4,32,10.8,651,104,0.4,1840,25
2023,January,Telangana,Sangareddy,88,4231,"Rayam Cheruvu, Bonthapally (V), Gummadidala (M), Sangareddy District",7.6,7.21,1208,6.1,13,7.1,179,68,0.4,785,25
2023,January,Telangana,Siddipet,89,4232,"Komati Cheruvu, Siddipet Town, Siddipet District.",8.1,8.36,743,3.6,12,4.2,89,40,0.4,465,25
2023,January,Telangana,RR-shamshabad,90,4235,"Kamuni Cheruvu, Shamshabad (V&M), Rangareddy District",0.3,8.28,1044,6.2,2,15,169,87,1.56,658,25
2023,January,Telangana,Sangareddy,91,4233,"Gaddapotharam cheruvu, Gaddapotharam (V), Jinnaram (M), Sangareddy District",8,7.1,2916,11,48,12.5,657,120,0.4,1890,25
2023,January,Telangana,Sangareddy,92,4238,"Ameenpur Cheruvu, Ameenpur (V & M), Sangareddy District",7.6,7.48,1177,7.6,34,8.7,152,84,0.4,702,25
2023,January,Telangana,Sangareddy,93,4239,"Mahaboobsagar Tank, Sangareddy(V&M), Sangareddy District",5.8,8.5,811,5,17,5.8,101,56,0.4,512,25
2023,January,Telangana,Sangareddy,94,4244,"Erdhanoor Tank, Erdhanoor (V), Patancheru (M), Sangareddy District",7,8.28,1390,3.6,25,4.2,295,40,0.4,890,25
2023,January,Telangana,Sangareddy,95,4245,"Mallepally Tank, Mallepally (V), Kondapur (M),  Sangareddy District",6.8,8.56,1763,4.7,15,5.4,212,52,0.4,973,25
2023,January,Telangana,Warangal Urban,96,4247,"Mucharla Nagaram cheruvu, Nagaram (V), Hasanparthy (M), Hanumakonda , Warangal",3.2,7.88,812,4.4,2.8,8,118,40,1.14,496,25
2023,January,Telangana,Warangal Urban,97,4248,"Koti Cheruvu, Mulugu Road, Warangal, Warangal District",0.3,6.92,1063,8,3.2,6,127,74,0.72,658,25
2023,January,Telangana,RR-shamshabad,98,4229,"Neknampur Lake, Neknampur, Ibrahimbagh, Rajendranagar (M),Rangareddy District",0.3,8.34,1652,10,5.2,23,210,103,1.39,1040,25
2023,January,Telangana,Warangal Urban,99,4249,"Rangasamudram,  Ursu (V), Khila Warangal (M), Warangal District",5.6,7.67,948,2.8,3.6,5.8,120,20,1.42,602,25
2023,January,Telangana,Sangareddy,100,4661,"Peddakanjarla Tank, Peddakanjarla (V), Patancheru (M), Sangareddy District.",6.6,8.01,340,3.6,7,4.2,41,40,0.4,190,25
2023,January,Telangana,Sangareddy,101,4666,"Ismailkhanpet Tank, Ismailkhanpet (V), Sangareddy (M & District)",6.2,8.38,699,5.4,14,6.2,93,60,0.4,378,25
2023,January,Telangana,Rangareddy,102,4670,"Bairamalguda Cheruvu, Saroornagar, Rangareddy District",0.3,7.96,1409,14,4.4,21,160,179,1.58,874,25
2023,January,Telangana,Hyderabad,103,4675,"Lotus pond, Hakimpet (V), Shaik pet (M), Hyderabad (D)",1,7.32,772,5,2.8,19,88,47,1.32,464,25
2023,January,Telangana,Mulugu,104,4680,"Laknavaram Cheruvu, Laknavaram, (V), Govindarao peta (M), Mulugu District.",6.4,8.06,172,1.4,0.92,1.5,14,12,0.4,102,25
2023,January,Telangana,Warangal Rural,105,4681,"Phakal Cheruvu, Narsampet, Warangal District",5.8,8.14,396,2.6,0.88,2,47,23,0.4,246,25
2023,January,Telangana,Warangal,106,4682,"Bandam Cheruvu, Near NIT Warangal, Hanamkonda",4.2,7.85,637,3.4,2.3,6.2,76,32,2.28,394,25
2023,January,Telangana,Sangareddy,107,4688,"Narinja Lake, Kothur-B (V), Zaheerabad (M), Sangareddy",6.5,8.39,691,3.6,15,4.2,84,40,0.4,411,25
2023,January,Telangana,Hyderabad,108,1391,"Hussain sagar Lake, Domalguda (V), Hyderabad",1.1,7.47,1327,5.6,3.8,10.8,157,51,3.62,822,25
2023,January,Telangana,Hyderabad,109,3071,"Langarhouse Tank, Golconda (V&M) ,Hyderabad (D)",0.3,7.32,1385,6.6,3.8,15,147,62,3.12,858,25
2023,January,Telangana,Hyderabad,110,2341,"Miralam tank, Bahadurpura (M), Hyderabad",1.8,7.48,1303,5,2.5,17,174,55,2.96,794,25
2023,January,Telangana,Medchal Malkajgiri,111,3073,"Hasmathpet lake, Hasmathpet",0.3,7.66,1034,6.4,2.8,6,103,78,2.12,642,25
2023,January,Telangana,Medchal Malkajgiri,112,3072,"Safilguda lake, Medchal",0.3,7.59,1484,8,3.2,11,164,101,0.96,906,25
2023,January,Telangana,Medchal Malkajgiri,113,3075,"Rangadhamini Kunta, Kukatpally(V&M), Medchal - Malkajgiri (D)",1.2,8.07,1421,5.4,3.4,10,172,55,1.08,852,25
2023,January,Telangana,Medchal Malkajgiri,114,3076,"Amber cheruvu, Kukatpally (V & M), Medchal- malkajigiri",0.3,7.93,1052,6.2,2.9,9,115,63,3.16,654,25
2023,January,Telangana,Medchal Malkajgiri,115,3077,"Kapra cheruvu, Kapra (V), Keesara (M)",2.6,7.68,896,3.4,2.6,8,99,31,0.58,536,25
2023,January,Telangana,RR-shamshabad,116,2357,"Durgam cheruvu , Raidurg (V), Serilingampally (M), Rangareddy (D)",1.8,8.07,793,5.6,2.5,2.6,92,51,0.51,482,25
2023,January,Telangana,Medchal Malkajgiri,117,2344,"Nalla cheruvu, Uppal (V & M), Medchal District",0.3,8.03,1598,8.6,3.4,10,190,82,3.58,1006,25
2023,January,Telangana,Medchal Malkajgiri,118,2359,"Pedda Cheruvu, Nacharam (V), Uppal (M), Medchal District",0.3,7.51,1459,8,3.8,13,149,86,1.28,904,25
2023,January,Telangana,RR-shamshabad,119,2342,"Noor Md. Kunta, Shamshabad",0.3,7.78,1381,10,3.6,14.8,144,137,3.24,828,25
2023,January,Telangana,Medchal Malkajgiri,120,3070,"Fox sagar, Jeedimetla (V), Qutubullapur (M), Medchal Malkajgiri (D)",1.6,8.08,1048,5.8,2.7,7.4,134,55,0.64,660,25
2023,January,Telangana,Hyderabad,121,3074,"Banjara Lake (Anantagani kunta), Banjara Hills, Hyderabad",0.3,7.31,1169,6.8,2.9,28,128,63,2.26,714,25
2023,January,Telangana,Sangareddy,124,3086,"Saki Tank, Patancheru (V & M), Sangareddy District",6.8,7.28,768,3.2,20,3.7,91,36,0.4,460,25
2023,January,Telangana,RR-shamshabad,125,4237,"Mundla Katwa,Moosapet(V), Kukatpally (M),Medchal - Malkajgiri (D)",0.3,8.28,1316,10,3.8,33,165,107,1.48,830,25
2023,January,Telangana,Hyderabad,126,4667,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",0.3,7.43,1832,6.5,3.8,24,262,63,2.86,1154,25
2023,January,Telangana,Medchal Malkajgiri,127,4668,"Chinnarayana Cheruvu, Alwal (V&M), Medchal- Malkajgiri (D)",0.3,7.86,1586,6,3.5,18,181,152,2.46,968,25
2023,January,Telangana,Rangareddy,130,4672,"MediKunta , Nanakramguda (V), Serilingampally (M), Rangareddy District",4.2,7.5,979,2.8,2.6,13,140,31,0.64,588,25
2023,January,Telangana,Rangareddy,132,4674,"Meedi Kunta, Hafeezpet (V), Serlingampally (M), Rangareddy District",5.8,7.57,613,2.4,1.8,8,71,20,0.82,374,25
